seed,mode,epoch,val_acc,gate,pipe
100,fen_subtractive,1,82.76082587246482,0.3212762420827692,6.096925475380638
100,fen_subtractive,2,83.33637858578477,0.20927954736081036,8.35574921694669
100,fen_subtractive,3,86.22784578841586,0.14018439027396115,9.345816655592484
100,fen_subtractive,4,88.47524209756989,0.10262530026110736,9.912841710177334
100,fen_subtractive,5,90.3435044765211,0.08595710010691122,9.98913504860618
100,fen_subtractive,6,92.29398867166087,0.08258937163786455,10.224579160863703
100,fen_subtractive,7,91.87374383336379,0.061950623989105225,10.318835518576883
100,fen_subtractive,8,92.19349534076375,0.06055378321219574,10.415220043875955
100,fen_subtractive,9,91.67275717156951,0.05705339478498155,10.484359871257436
100,fen_subtractive,10,91.9833729216152,0.05779100192541426,10.532134749672629
100,fen_subtractive,11,90.69523113466106,0.05715877647426995,10.534491105513139
100,fen_subtractive,12,86.47451123698154,0.09132023562084544,10.286369453776967
100,fen_subtractive,13,92.71423350995798,0.045811801302162086,10.644708980213512
100,fen_subtractive,14,92.16608806870089,0.049799630757082596,10.63772491975264
100,fen_subtractive,15,93.51361227845788,0.0434694437479431,10.601184888319535
100,fen_rotational,1,91.33016627078385,0.3702077256007628,6.7234439633109355
100,fen_rotational,2,94.17138680796639,0.32134381613948126,7.741004445336082
100,fen_rotational,3,94.41348437785493,0.28093434599312866,8.463040525263006
100,fen_rotational,4,95.33162799196053,0.2612150419842113,8.799523310227828
100,fen_rotational,5,94.54595285949206,0.24519031901251187,9.057378855618564
100,fen_rotational,6,95.71076192216334,0.23063412647355686,9.25092636455189
100,fen_rotational,7,96.17211766855472,0.22277440333908255,9.35374420339411
100,fen_rotational,8,95.66051525671479,0.22053817524151367,9.44656684181907
100,fen_rotational,9,96.24063584871185,0.2131527547131885,9.540105126120828
100,fen_rotational,10,95.82952676776905,0.2041955515742302,9.609055649150502
100,fen_rotational,11,96.41878311712041,0.20368416539647363,9.68304005536166
100,fen_rotational,12,96.33656130093185,0.19610903344371103,9.69380200992931
100,fen_rotational,13,96.65631280833182,0.19664596088907935,9.683151201768355
100,fen_rotational,14,96.45532614653754,0.1883740479295904,9.68588096445257
100,fen_rotational,15,96.52841220537182,0.18861636316234415,9.743672717701305
100,lstm,1,82.76082587246482,0.0,3.6831638487902554
100,lstm,2,82.76082587246482,0.0,3.5551578348333184
100,lstm,3,82.6923076923077,0.0,3.655376531861045
100,lstm,4,82.75169011511055,0.0,3.4896419048309326
100,lstm,5,82.87502283939338,0.0,3.4207052209160547
100,lstm,6,82.75625799378768,0.0,3.817542791366577
100,lstm,7,82.82934405262196,0.0,3.879436557943171
100,lstm,8,82.66946829892198,0.0,3.9556194218722256
100,lstm,9,88.06413301662708,0.0,3.907126459208402
100,lstm,10,89.85017357938973,0.0,3.7890129522843794
100,lstm,11,91.96966928558378,0.0,3.7780403332276777
100,lstm,12,92.02448382970948,0.0,3.7787877212871206
100,lstm,13,92.54065412022656,0.0,3.7907106442884966
100,lstm,14,92.62744381509226,0.0,3.6585872064937246
100,lstm,15,92.61374017906084,0.0,3.7478903748772363
200,fen_subtractive,1,83.71094463731043,0.25149281322956085,7.079937327991832
200,fen_subtractive,2,85.12241914854741,0.13130973008545962,9.172729795629328
200,fen_subtractive,3,85.47414580668737,0.09656700220975009,9.6873855157332
200,fen_subtractive,4,87.50685181801572,0.10556080395525153,9.523962497711182
200,fen_subtractive,5,90.33893659784397,0.05409953658553687,10.280098004774613
200,fen_subtractive,6,91.37127717887813,0.047307544303211296,10.413606036793102
200,fen_subtractive,7,91.06066142883245,0.04663853144103831,10.396412025798451
200,fen_subtractive,8,91.54942444728668,0.039985224096612496,10.519724715839732
200,fen_subtractive,9,90.75461355746391,0.03966962004249746,10.405740564519709
200,fen_subtractive,10,91.62251050612096,0.03755682994696227,10.584126515821977
200,fen_subtractive,11,91.53115293257811,0.03905151818286289,10.586234526200728
200,fen_subtractive,12,92.61374017906084,0.03320217792960731,10.644205136732621
200,fen_subtractive,13,90.88708203910105,0.06356280821968209,10.56157450242476
200,fen_subtractive,14,92.98373835190937,0.034318419342691246,10.722327102314342
200,fen_subtractive,15,93.65521651744929,0.0376933581111106,10.675431078130549
200,fen_rotational,1,83.11712040928192,0.2513927234844728,7.553599812767723
200,fen_rotational,2,91.50374566051525,0.18366993489590558,8.888247966766357
200,fen_rotational,3,92.66855472318655,0.15130713107911023,9.332949118180709
200,fen_rotational,4,94.10286862780924,0.12581186639991673,9.74751650203358
200,fen_rotational,5,93.83793166453499,0.11268732899969275,9.9633770422502
200,fen_rotational,6,94.66014982642062,0.10911300134929744,10.047428911382502
200,fen_rotational,7,95.06212315000914,0.10071030699393967,10.14458790692416
200,fen_rotational,8,94.84286497350631,0.09196017580953511,10.248131188479336
200,fen_rotational,9,95.55088616846336,0.09044328670610081,10.244398680600254
200,fen_rotational,10,95.74273707290334,0.08531909571452574,10.285480585965244
200,fen_rotational,11,95.89804494792618,0.08520568229935387,10.320117126811635
200,fen_rotational,12,95.69705828613192,0.0863724107092077,10.274217995730313
200,fen_rotational,13,95.7061940434862,0.07746873321858319,10.36840226433494
200,fen_rotational,14,95.48693586698337,0.07566774738105861,10.38584076274525
200,fen_rotational,15,96.10359948839758,0.0742080428383567,10.40359913219105
200,lstm,1,82.76082587246482,0.0,3.8865836425261064
200,lstm,2,82.76082587246482,0.0,3.971213622526689
200,lstm,3,82.71971496437055,0.0,3.858981804414229
200,lstm,4,82.82020829526769,0.0,3.693460778756575
200,lstm,5,82.82020829526769,0.0,3.5976302407004614
200,lstm,6,82.88415859674767,0.0,3.894391829317266
200,lstm,7,82.76082587246482,0.0,5.3077076131647285
200,lstm,8,82.76082587246482,0.0,5.226056879216975
200,lstm,9,84.98995066691029,0.0,5.281543016433716
200,lstm,10,88.13265119678422,0.0,5.276357932524248
200,lstm,11,89.37968207564407,0.0,5.174569693478671
200,lstm,12,90.01004933308971,0.0,5.202700528231534
200,lstm,13,90.26585053900969,0.0,5.057239272377708
200,lstm,14,90.22473963091541,0.0,5.008404341610995
200,lstm,15,90.8825141604239,0.0,4.820997454903343
300,fen_subtractive,1,84.10378220354467,0.26790846613320435,7.0889009995893995
300,fen_subtractive,2,85.23661611547597,0.20278321680697528,8.48710229180076
300,fen_subtractive,3,87.37895121505574,0.15568125180222772,9.048758766867898
300,fen_subtractive,4,85.58834277361593,0.07728950001976707,9.986377629366787
300,fen_subtractive,5,89.57153298008404,0.06433830037713051,10.261262156746604
300,fen_subtractive,6,91.97880504293806,0.06065847555344755,10.269088138233531
300,fen_subtractive,7,91.55399232596382,0.0587716129693118,10.334847276861018
