seed,mode,epoch,val_loss,val_ppl
200,gpt_baseline,5,5.50641076705035,246.2656341695729
200,gpt_baseline,6,5.410313185523538,223.70163682502988
200,gpt_baseline,7,5.352900477016673,211.22004915055012
200,gpt_baseline,8,5.299282550811768,200.1931300407913
200,gpt_baseline,9,5.268822052899529,194.18708555504475
200,gpt_baseline,10,5.24712610244751,190.01938674353516
200,gpt_baseline,11,5.243717866785386,189.37285827966772
200,gpt_baseline,12,5.23915501201854,188.51074577337369
200,gpt_baseline,13,5.253436032463522,191.22218657614732
200,gpt_baseline,14,5.270182890050552,194.4515224422782
200,gpt_baseline,15,5.308109171250287,201.96798025556504
200,fet_full,1,6.2286463905783265,507.06864584925415
200,fet_full,2,5.9742646778331085,393.17888162217395
200,fet_full,3,5.786897070267621,325.99989858171347
200,fet_full,4,5.665238773121553,288.65689639694
200,fet_full,5,5.538487069747028,254.29298073508565
200,fet_full,6,5.447900519651525,232.27000733137027
200,fet_full,7,5.3743855251985435,215.8072234593116
200,fet_full,8,5.321293213788201,204.64836502694038
200,fet_full,9,5.276049445657169,195.5956358325288
200,fet_full,10,5.257350500892191,191.97218675668324
200,fet_full,11,5.219857608570772,184.90785290261127
200,fet_full,12,5.201660548939424,181.573503364642
200,fet_full,13,5.191869875963996,179.8044508110677
200,fet_full,14,5.19750763388241,180.82100763549178
200,fet_full,15,5.201924464281867,181.62142972193337
200,fet_attn_only,1,6.182589671191047,484.24436767448884
200,fet_attn_only,2,5.92571107079001,374.54466846706225
200,fet_attn_only,3,5.743600817287669,312.1865161254103
200,fet_attn_only,4,5.601783892687629,270.9092496582208
200,fet_attn_only,5,5.498857918907614,244.41263375605328
200,fet_attn_only,6,5.408451613257913,223.2855874352939
200,fet_attn_only,7,5.343864048228545,209.31997210278206
200,fet_attn_only,8,5.304806456846349,201.3020380118981
200,fet_attn_only,9,5.2650006238152,193.4464294622072
200,fet_attn_only,10,5.249286034527947,190.4302592815183
200,fet_attn_only,11,5.218693144181195,184.69265960933296
200,fet_attn_only,12,5.203335509580724,181.8778866801553
200,fet_attn_only,13,5.214993084178252,184.0105483910936
200,fet_attn_only,14,5.210424114676083,183.17172754009226
200,fet_attn_only,15,5.223076203290154,185.50395513267827
200,fet_ffn_only,1,6.194568634033203,490.07999556415757
200,fet_ffn_only,2,5.9393445183249085,379.6859707569758
200,fet_ffn_only,3,5.7349162101745605,309.4870378078899
200,fet_ffn_only,4,5.607645623824176,272.5019101556339
200,fet_ffn_only,5,5.492332234102137,242.8228667465176
200,fet_ffn_only,6,5.39343474893009,219.95758865563047
200,fet_ffn_only,7,5.327134188483743,205.84720874805708
200,fet_ffn_only,8,5.287034399369183,197.75608935441423
200,fet_ffn_only,9,5.24847344791188,190.2755810547714
200,fet_ffn_only,10,5.232485883376178,187.2577262776853
200,fet_ffn_only,11,5.207352189456715,182.6099010770439
200,fet_ffn_only,12,5.192679601557114,179.95010203745076
200,fet_ffn_only,13,5.199448305017808,181.17226247050172
200,fet_ffn_only,14,5.210269479190602,183.14340488097832
200,fet_ffn_only,15,5.226012370165656,186.04942610603638
