seed,mode,depth,epoch,val_loss,val_acc
100,plain_cnn,12,1,4.237748789787292,7.07
100,plain_cnn,12,2,3.77285031080246,13.44
100,plain_cnn,12,3,3.5557136058807375,18.95
100,plain_cnn,12,4,3.477772390842438,21.709999999999997
100,plain_cnn,12,5,3.320952570438385,26.41
100,plain_cnn,12,6,3.039188730716705,31.96
100,plain_cnn,12,7,2.692444324493408,40.300000000000004
100,plain_cnn,12,8,2.549326241016388,44.91
100,plain_cnn,12,9,2.436178112030029,48.59
100,plain_cnn,12,10,2.423975574970245,49.24
100,plain_cnn,12,11,2.369752252101898,51.17
100,plain_cnn,12,12,2.3512049436569216,51.949999999999996
100,plain_cnn,12,13,2.2910505175590514,54.120000000000005
100,plain_cnn,12,14,2.103285276889801,58.79
100,plain_cnn,12,15,2.1305549263954164,57.830000000000005
100,plain_cnn,12,16,2.076407527923584,60.69
100,plain_cnn,12,17,2.0687072336673737,60.18
100,plain_cnn,12,18,2.019391292333603,62.07
100,plain_cnn,12,19,1.9910934090614318,62.61
100,plain_cnn,12,20,2.01650208234787,62.77
100,plain_cnn,12,21,1.9562523126602174,64.46
100,plain_cnn,12,22,1.9361845314502717,64.61
100,plain_cnn,12,23,1.9205538153648376,65.34
100,plain_cnn,12,24,1.8920194447040557,66.52
100,plain_cnn,12,25,1.9124686121940613,66.2
100,plain_cnn,12,26,1.9070314764976501,66.5
100,plain_cnn,12,27,1.8706600844860077,67.9
100,plain_cnn,12,28,1.8493571996688842,68.54
100,plain_cnn,12,29,1.8824341595172882,68.03
100,plain_cnn,12,30,1.8288923919200897,69.52000000000001
100,plain_cnn,12,31,1.8935998380184174,66.75999999999999
100,plain_cnn,12,32,1.8191492140293122,69.74000000000001
100,plain_cnn,12,33,1.8125339150428772,69.99
100,plain_cnn,12,34,1.80837225317955,70.47
100,plain_cnn,12,35,1.813970333337784,70.67999999999999
100,plain_cnn,12,36,1.8029543995857238,70.63000000000001
100,plain_cnn,12,37,1.8074608623981476,70.57
100,plain_cnn,12,38,1.7918791353702546,71.04
100,plain_cnn,12,39,1.7869430422782897,71.03
100,plain_cnn,12,40,1.783303153514862,71.35000000000001
100,plain_cnn,12,41,1.787403666973114,71.15
100,plain_cnn,12,42,1.7877474963665008,71.32
100,plain_cnn,12,43,1.7904299914836883,71.3
100,plain_cnn,12,44,1.7826351702213288,71.6
100,plain_cnn,12,45,1.7821153402328491,71.73
100,plain_cnn,12,46,1.7820641636848449,71.48
100,plain_cnn,12,47,1.7795304536819458,71.83
100,plain_cnn,12,48,1.781152641773224,71.54
100,plain_cnn,12,49,1.7811187744140624,71.67999999999999
100,plain_cnn,12,50,1.7806881964206696,71.66
100,resnet_baseline,12,1,4.143599438667297,9.950000000000001
100,resnet_baseline,12,2,3.656349813938141,19.040000000000003
100,resnet_baseline,12,3,3.344562125205994,26.39
100,resnet_baseline,12,4,3.1861770033836363,30.580000000000002
100,resnet_baseline,12,5,3.2118765473365785,31.61
100,resnet_baseline,12,6,2.9760350227355956,36.68
100,resnet_baseline,12,7,2.8867299437522886,38.690000000000005
100,resnet_baseline,12,8,2.7250356316566466,44.84
100,resnet_baseline,12,9,2.830459725856781,43.5
100,resnet_baseline,12,10,2.8408383965492248,44.72
100,resnet_baseline,12,11,2.85025931596756,45.46
100,resnet_baseline,12,12,2.994432878494263,42.44
100,resnet_baseline,12,13,2.772703504562378,46.089999999999996
100,resnet_baseline,12,14,2.569595515727997,49.419999999999995
100,resnet_baseline,12,15,2.5387284994125365,50.03999999999999
100,resnet_baseline,12,16,2.71916526556015,49.84
100,resnet_baseline,12,17,2.586298072338104,50.54
100,resnet_baseline,12,18,2.569000267982483,51.38
100,resnet_baseline,12,19,2.6591801047325134,51.7
100,resnet_baseline,12,20,2.516225302219391,51.980000000000004
100,resnet_baseline,12,21,2.932904601097107,50.22
100,resnet_baseline,12,22,2.691097891330719,51.05
100,resnet_baseline,12,23,2.7182406425476073,52.62
100,resnet_baseline,12,24,2.437013494968414,55.60000000000001
100,resnet_baseline,12,25,2.3289854288101197,57.9
100,resnet_baseline,12,26,2.2715893387794495,59.019999999999996
100,resnet_baseline,12,27,2.4347613930702208,57.26
100,resnet_baseline,12,28,2.2296169996261597,60.089999999999996
100,resnet_baseline,12,29,2.2823834896087645,58.3
100,resnet_baseline,12,30,2.2828043580055235,60.61
100,resnet_baseline,12,31,2.1426609992980956,61.75000000000001
100,resnet_baseline,12,32,2.199855017662048,60.89
100,resnet_baseline,12,33,2.1972150206565857,61.529999999999994
