seed,mode,epoch,val_loss,val_acc,gate,pipe
100,plain_cnn,1,4.212901067733765,8.34,0.0,10.348717403411865
100,plain_cnn,2,4.028019070625305,11.5,0.0,9.349130249023437
100,plain_cnn,3,3.6983867406845095,19.49,0.0,9.942533016204834
100,plain_cnn,4,3.3292033672332764,26.25,0.0,10.334477615356445
100,plain_cnn,5,2.9617664337158205,34.48,0.0,9.854054832458496
100,plain_cnn,6,2.8928388357162476,37.5,0.0,10.400039863586425
100,plain_cnn,7,2.773486924171448,40.71,0.0,10.298120307922364
100,plain_cnn,8,2.624438238143921,45.04,0.0,10.655674457550049
100,plain_cnn,9,2.58458206653595,47.04,0.0,10.790015602111817
100,plain_cnn,10,2.481334900856018,49.54,0.0,11.081808757781982
100,plain_cnn,11,2.4901915311813356,50.349999999999994,0.0,11.021667575836181
100,plain_cnn,12,2.4392927408218386,51.67,0.0,11.061178493499757
100,plain_cnn,13,2.3851654052734377,52.73,0.0,10.775916481018067
100,plain_cnn,14,2.3533534526824953,55.16,0.0,12.078751277923583
100,plain_cnn,15,2.2037990570068358,58.650000000000006,0.0,11.102078342437744
100,plain_cnn,16,2.1687695026397704,60.040000000000006,0.0,11.333689975738526
100,plain_cnn,17,2.3284115314483644,56.15,0.0,11.576350879669189
100,plain_cnn,18,2.182457971572876,59.870000000000005,0.0,11.458155632019043
100,plain_cnn,19,2.1878270864486695,60.01,0.0,11.940009498596192
100,plain_cnn,20,2.143550682067871,61.370000000000005,0.0,11.60656213760376
100,plain_cnn,21,2.1518150568008423,61.040000000000006,0.0,11.876923561096191
100,plain_cnn,22,2.116768217086792,62.7,0.0,12.045159244537354
100,plain_cnn,23,2.0404967188835146,64.19,0.0,12.083858394622803
100,plain_cnn,24,2.051908493041992,63.72,0.0,11.89287576675415
100,plain_cnn,25,2.0146910786628722,65.51,0.0,11.824768447875977
100,plain_cnn,26,2.0530416488647463,64.29,0.0,11.718346500396729
100,plain_cnn,27,2.029388630390167,64.97,0.0,11.984094047546387
100,plain_cnn,28,2.006770634651184,65.67,0.0,12.516123294830322
100,plain_cnn,29,2.020178747177124,66.08000000000001,0.0,12.600369358062744
100,plain_cnn,30,2.016468071937561,66.49000000000001,0.0,12.423698806762696
100,plain_cnn,31,1.9904241681098938,66.4,0.0,12.018380451202393
100,plain_cnn,32,2.0101414561271667,66.46,0.0,12.46409206390381
100,plain_cnn,33,1.9738441228866577,67.43,0.0,12.556888389587403
100,plain_cnn,34,1.9693304419517517,67.34,0.0,12.424255752563477
100,plain_cnn,35,1.971081018447876,67.39,0.0,12.415575695037841
100,plain_cnn,36,1.9845752358436584,67.47,0.0,12.648612308502198
100,plain_cnn,37,1.9702151894569397,67.45,0.0,12.578228569030761
100,plain_cnn,38,1.9670948266983033,67.67,0.0,12.61725673675537
100,plain_cnn,39,1.9595224142074585,67.99,0.0,12.67979326248169
100,plain_cnn,40,1.9515716433525085,68.17,0.0,12.538012218475341
100,plain_cnn,41,1.9558387875556946,67.88,0.0,12.686252880096436
100,plain_cnn,42,1.952473247051239,68.15,0.0,12.695045566558838
100,plain_cnn,43,1.9441261172294617,68.34,0.0,12.63391695022583
100,plain_cnn,44,1.9408154368400574,68.38,0.0,12.602961921691895
100,plain_cnn,45,1.9394850134849548,68.36,0.0,12.580926990509033
100,plain_cnn,46,1.940363585948944,68.22,0.0,12.604208183288574
100,plain_cnn,47,1.941306471824646,68.17999999999999,0.0,12.639106369018554
100,plain_cnn,48,1.9416337728500366,68.30000000000001,0.0,12.651837635040284
100,plain_cnn,49,1.9389904975891112,68.28,0.0,12.60108003616333
100,plain_cnn,50,1.9411175966262817,68.28,0.0,12.645452117919922
100,resnet_baseline,1,4.1834321975708,8.49,0.0,27.128424072265624
100,resnet_baseline,2,3.964479660987854,12.46,0.0,28.957884788513184
100,resnet_baseline,3,3.675086736679077,18.43,0.0,30.48930130004883
100,resnet_baseline,4,3.4587252855300905,23.65,0.0,30.71591796875
100,resnet_baseline,5,3.1914288282394407,28.74,0.0,27.50570888519287
100,resnet_baseline,6,3.2261551141738893,30.17,0.0,28.72942180633545
100,resnet_baseline,7,3.002531552314758,35.57,0.0,28.39400577545166
100,resnet_baseline,8,2.959041404724121,38.48,0.0,29.62977409362793
100,resnet_baseline,9,2.8204029321670534,40.839999999999996,0.0,28.603307914733886
100,resnet_baseline,10,3.015820360183716,38.16,0.0,29.13151969909668
100,resnet_baseline,11,2.650739812850952,47.15,0.0,28.452719688415527
100,resnet_baseline,12,2.596192789077759,48.449999999999996,0.0,28.3830322265625
100,resnet_baseline,13,2.563534069061279,48.870000000000005,0.0,27.301539039611818
100,resnet_baseline,14,2.4837703466415406,51.55,0.0,26.813368606567384
100,resnet_baseline,15,2.414326477050781,52.459999999999994,0.0,25.760251808166505
100,resnet_baseline,16,2.393160605430603,54.35,0.0,26.85061321258545
100,resnet_baseline,17,2.370911979675293,55.26,0.0,25.792258071899415
100,resnet_baseline,18,2.318506455421448,56.010000000000005,0.0,25.67738037109375
100,resnet_baseline,19,2.2444082736968993,57.989999999999995,0.0,24.262541389465333
100,resnet_baseline,20,2.3193231582641602,56.92,0.0,25.99862403869629
100,resnet_baseline,21,2.2628260612487794,58.19,0.0,25.17613830566406
100,resnet_baseline,22,2.251058578491211,59.330000000000005,0.0,24.82031669616699
100,resnet_baseline,23,2.1521761894226072,61.27,0.0,24.64332160949707
100,resnet_baseline,24,2.2434654235839844,59.330000000000005,0.0,25.167799377441405
100,resnet_baseline,25,2.1444337129592896,61.35,0.0,24.92152919769287
100,resnet_baseline,26,2.2309853553771974,60.480000000000004,0.0,25.60685977935791
100,resnet_baseline,27,2.1739695072174072,61.650000000000006,0.0,24.914371299743653
100,resnet_baseline,28,2.1598814725875854,62.91,0.0,25.613612556457518
100,resnet_baseline,29,2.1449159145355225,62.839999999999996,0.0,24.736626052856444
100,resnet_baseline,30,2.153641200065613,62.41,0.0,25.43445873260498
100,resnet_baseline,31,2.083792471885681,63.77,0.0,24.049105834960937
100,resnet_baseline,32,2.111610269546509,63.81,0.0,24.54953327178955
100,resnet_baseline,33,2.1035507678985597,64.33,0.0,24.643367195129393
100,resnet_baseline,34,2.070049834251404,64.29,0.0,24.147104454040527
100,resnet_baseline,35,2.0707984924316407,64.92,0.0,24.952503967285157
100,resnet_baseline,36,2.078203248977661,64.9,0.0,24.628246307373047
100,resnet_baseline,37,2.035936677455902,65.7,0.0,24.422011947631837
100,resnet_baseline,38,2.047285294532776,65.59,0.0,24.650243949890136
100,resnet_baseline,39,2.034680116176605,65.8,0.0,24.719786643981934
100,resnet_baseline,40,2.0384785890579225,65.42,0.0,24.679790687561034
100,resnet_baseline,41,2.0237498760223387,66.36999999999999,0.0,24.795578384399413
100,resnet_baseline,42,2.0106556177139283,66.24,0.0,24.507686805725097
100,resnet_baseline,43,2.008747231960297,66.27,0.0,24.622920417785643
100,resnet_baseline,44,2.002440094947815,66.82000000000001,0.0,24.686342239379883
100,resnet_baseline,45,1.9978351950645448,66.78,0.0,24.4972806930542
100,resnet_baseline,46,2.001447629928589,66.72,0.0,24.72888603210449
100,resnet_baseline,47,1.997516119480133,66.66,0.0,24.62520980834961
100,resnet_baseline,48,1.9953202486038208,66.53999999999999,0.0,24.548474884033205
100,resnet_baseline,49,1.9945911526679994,66.64,0.0,24.526767921447753
100,resnet_baseline,50,1.9959049582481385,66.53,0.0,24.54449596405029
100,fen_spatial,1,3.9911460161209105,11.83,0.5354436874389649,7.17588324546814
100,fen_spatial,2,3.596369004249573,20.32,0.5228857696056366,7.0773725509643555
100,fen_spatial,3,3.159527373313904,30.830000000000002,0.527484393119812,7.640016412734985
100,fen_spatial,4,2.7744691371917725,39.81,0.5367573440074921,7.4087221145629885
100,fen_spatial,5,2.6724231243133545,43.82,0.5402806580066681,7.629847717285156
100,fen_spatial,6,2.3857860565185547,52.190000000000005,0.5529047608375549,6.789051103591919
100,fen_spatial,7,2.3273442029953,53.910000000000004,0.551827609539032,7.327317714691162
100,fen_spatial,8,2.2624492406845094,56.35,0.5549280881881714,7.731337404251098
100,fen_spatial,9,2.221079635620117,58.540000000000006,0.558506178855896,7.926916265487671
100,fen_spatial,10,2.1976523399353027,59.91,0.5614191770553589,7.606269025802613
100,fen_spatial,11,2.1597378969192507,61.57,0.5633304417133331,8.027496433258056
100,fen_spatial,12,2.0868165493011475,63.12,0.56844722032547,7.677814674377442
100,fen_spatial,13,2.074848699569702,64.03,0.570996356010437,7.582383441925049
