seed,mode,epoch,val_loss,val_acc,gate,pipe
100,plain_mlp,1,2.305766796875,9.569999999999999,0.0,4.999571466445923
100,plain_mlp,2,2.3039250377655027,9.78,0.0,4.263338947296143
100,plain_mlp,3,2.305356762313843,9.53,0.0,3.8203460335731507
100,plain_mlp,4,2.3041123447418212,10.31,0.0,3.506769394874573
100,plain_mlp,5,2.3033362926483156,9.53,0.0,3.2109947323799135
100,plain_mlp,6,2.3029183826446533,9.569999999999999,0.0,3.052421438694
100,plain_mlp,7,2.3042919578552246,10.31,0.0,2.8395857572555543
100,plain_mlp,8,2.303779990005493,9.569999999999999,0.0,2.657524621486664
100,plain_mlp,9,2.305547814941406,9.53,0.0,2.5119686365127563
100,plain_mlp,10,2.3028629707336425,10.11,0.0,2.3876853227615356
100,plain_mlp,11,2.3046761932373045,10.16,0.0,2.2857818841934203
100,plain_mlp,12,2.3025833499908446,10.16,0.0,2.13808012008667
100,plain_mlp,13,2.3029947776794435,9.58,0.0,2.026808726787567
100,plain_mlp,14,2.303897422027588,9.78,0.0,1.9528813779354095
100,plain_mlp,15,2.3031030822753906,10.6,0.0,1.8803307354450225
100,plain_mlp,16,2.3030176540374754,9.58,0.0,1.8252883493900298
100,plain_mlp,17,2.3032481452941895,9.58,0.0,1.7826489984989167
100,plain_mlp,18,2.3038675968170166,10.11,0.0,1.7171774506568909
100,plain_mlp,19,2.303562515640259,9.58,0.0,1.648574072122574
100,plain_mlp,20,2.3033124160766603,10.05,0.0,1.5999733328819274
100,plain_mlp,21,2.304090503311157,9.53,0.0,1.560534954071045
100,plain_mlp,22,2.30247922706604,9.53,0.0,1.520242404937744
100,plain_mlp,23,2.3033151947021486,9.58,0.0,1.4974371254444123
100,plain_mlp,24,2.3034592044830324,9.569999999999999,0.0,1.4621942222118378
100,plain_mlp,25,2.30282170715332,9.78,0.0,1.4083185613155365
100,plain_mlp,26,2.302923168182373,9.78,0.0,1.3733918070793152
100,plain_mlp,27,2.3033402187347414,10.05,0.0,1.3344546020030976
100,plain_mlp,28,2.303440616989136,10.11,0.0,1.262673842906952
100,plain_mlp,29,2.3041509048461912,9.58,0.0,1.24829620718956
100,plain_mlp,30,2.303181704711914,10.05,0.0,1.2242908477783203
100,resnet_mlp,1,1.0876563535690307,63.63999999999999,0.0,82.92006340026856
100,resnet_mlp,2,0.5955859892845153,81.0,0.0,83.61262817382813
100,resnet_mlp,3,0.41326618390083314,87.58,0.0,84.05849113464356
100,resnet_mlp,4,0.36886238226890566,89.18,0.0,84.49131126403809
100,resnet_mlp,5,0.3412795748233795,90.61,0.0,84.67427825927734
100,resnet_mlp,6,0.3555721712589264,90.25,0.0,84.93659706115723
