seed,mode,epoch,val_loss,val_acc
100,resnet_mlp,1,0.8082193691253662,73.34
100,resnet_mlp,2,0.5112631227493286,83.48
100,resnet_mlp,3,0.39223255891799924,88.03999999999999
100,resnet_mlp,4,0.3494551443099976,89.84
100,resnet_mlp,5,0.35202979493141173,90.0
100,resnet_mlp,6,0.4038489735603332,88.74
100,resnet_mlp,7,0.33234269876480105,91.0
100,resnet_mlp,8,0.3440711479663849,91.16
100,resnet_mlp,9,0.3470112901687622,91.38
100,resnet_mlp,10,0.3437688271999359,91.64
100,resnet_mlp,11,0.34886735796928403,91.22
100,resnet_mlp,12,0.36428201570510865,91.0
100,resnet_mlp,13,0.32688933334350584,92.64
100,resnet_mlp,14,0.3410325623512268,92.44
100,resnet_mlp,15,0.3935481386184692,91.14
100,resnet_mlp,16,0.39621722784042357,91.52
100,resnet_mlp,17,0.36502513389587404,92.44
100,resnet_mlp,18,0.3649181510925293,92.34
100,resnet_mlp,19,0.3897392824649811,91.82000000000001
100,resnet_mlp,20,0.36202018456459045,92.80000000000001
100,resnet_mlp,21,0.3574090683221817,93.02
100,resnet_mlp,22,0.39202919216156007,92.16
100,resnet_mlp,23,0.375302672624588,92.32000000000001
100,resnet_mlp,24,0.35363503046035766,93.08
100,resnet_mlp,25,0.37500472841262816,93.06
100,resnet_mlp,26,0.41955544843673703,92.10000000000001
100,resnet_mlp,27,0.38409145336151124,92.47999999999999
100,resnet_mlp,28,0.3742687944889069,92.94
100,resnet_mlp,29,0.3735025148868561,93.32000000000001
100,resnet_mlp,30,0.40063819580078125,92.5
100,fen_mlp,1,0.857413289642334,71.54
100,fen_mlp,2,0.5386569512367249,83.54
100,fen_mlp,3,0.41543065643310545,87.82
100,fen_mlp,4,0.4162317699432373,87.88
100,fen_mlp,5,0.3973356430530548,88.74
100,fen_mlp,6,0.36529339447021486,90.22
100,fen_mlp,7,0.3437781054496765,90.96
100,fen_mlp,8,0.36213919310569764,90.36
100,fen_mlp,9,0.380610502243042,90.14
100,fen_mlp,10,0.343446000623703,90.53999999999999
100,fen_mlp,11,0.37444658617973325,90.84
100,fen_mlp,12,0.38722402782440185,90.22
100,fen_mlp,13,0.39511010427474974,90.62
100,fen_mlp,14,0.38098030667304994,90.5
100,fen_mlp,15,0.38411568775177,90.46
100,fen_mlp,16,0.42716042385101316,89.7
100,fen_mlp,17,0.3741133786678314,90.96
100,fen_mlp,18,0.38107976169586183,90.94
100,fen_mlp,19,0.3646003467082977,91.3
100,fen_mlp,20,0.36886656632423404,90.94
100,fen_mlp,21,0.3776370973825455,91.22
100,fen_mlp,22,0.3859804030895233,91.03999999999999
100,fen_mlp,23,0.35816035728454587,91.53999999999999
100,fen_mlp,24,0.3831601918697357,91.46
100,fen_mlp,25,0.34913119955062866,92.25999999999999
100,fen_mlp,26,0.39343311948776244,91.36
100,fen_mlp,27,0.3725468803882599,91.47999999999999
100,fen_mlp,28,0.4137415442466736,91.22
100,fen_mlp,29,0.35492454824447633,91.8
100,fen_mlp,30,0.3542942109107971,92.52
100,fen_rotational_mlp,1,0.9106225875854492,69.6
100,fen_rotational_mlp,2,0.558065027141571,82.42
100,fen_rotational_mlp,3,0.49904117455482483,84.74000000000001
100,fen_rotational_mlp,4,0.44910580077171325,86.74
100,fen_rotational_mlp,5,0.3629444543361664,89.75999999999999
100,fen_rotational_mlp,6,0.3807918267250061,89.24
100,fen_rotational_mlp,7,0.3554044422149658,89.94
100,fen_rotational_mlp,8,0.35099395332336425,89.94
100,fen_rotational_mlp,9,0.3597345431804657,90.32
100,fen_rotational_mlp,10,0.34790751543045045,90.74
100,fen_rotational_mlp,11,0.3315279292106628,91.3
100,fen_rotational_mlp,12,0.34098634572029113,90.86
100,fen_rotational_mlp,13,0.3477983218669891,90.84
100,fen_rotational_mlp,14,0.3190443015575409,91.67999999999999
100,fen_rotational_mlp,15,0.3723701106071472,90.34
100,fen_rotational_mlp,16,0.330412610244751,91.53999999999999
100,fen_rotational_mlp,17,0.3236798457622528,92.0
100,fen_rotational_mlp,18,0.3425894194126129,91.44
100,fen_rotational_mlp,19,0.35411242060661313,91.14
100,fen_rotational_mlp,20,0.3299954171657562,91.72
100,fen_rotational_mlp,21,0.3414959771156311,91.53999999999999
100,fen_rotational_mlp,22,0.3651353073120117,91.47999999999999
100,fen_rotational_mlp,23,0.3508379371166229,91.24
100,fen_rotational_mlp,24,0.33991054644584656,91.78
100,fen_rotational_mlp,25,0.3449557329654694,91.74
100,fen_rotational_mlp,26,0.35833070602416994,91.46
100,fen_rotational_mlp,27,0.34709246859550474,91.96
100,fen_rotational_mlp,28,0.3536037842273712,91.75999999999999
100,fen_rotational_mlp,29,0.37827192554473876,91.67999999999999
100,fen_rotational_mlp,30,0.3402976010799408,91.7
200,resnet_mlp,1,0.8421582299232483,72.52
200,resnet_mlp,2,0.4720349175453186,84.88
200,resnet_mlp,3,0.3712807032585144,88.68
200,resnet_mlp,4,0.3464539726257324,89.75999999999999
200,resnet_mlp,5,0.33252278809547425,90.82000000000001
200,resnet_mlp,6,0.34558758256435396,90.58
200,resnet_mlp,7,0.3293951816558838,91.18
200,resnet_mlp,8,0.38487627878189085,90.18
200,resnet_mlp,9,0.3425849549293518,91.08000000000001
200,resnet_mlp,10,0.3460263500213623,91.32000000000001
200,resnet_mlp,11,0.35980151002407074,90.74
200,resnet_mlp,12,0.36938966672420503,91.25999999999999
200,resnet_mlp,13,0.3500105111837387,92.0
200,resnet_mlp,14,0.36523690173625944,92.06
200,resnet_mlp,15,0.35177190933227537,92.52
200,resnet_mlp,16,0.3626669550895691,92.2
200,resnet_mlp,17,0.3746123820304871,91.75999999999999
200,resnet_mlp,18,0.3588418206453323,92.60000000000001
200,resnet_mlp,19,0.36082182474136354,92.60000000000001
200,resnet_mlp,20,0.40190552842617033,91.7
200,resnet_mlp,21,0.3692823209285736,92.4
200,resnet_mlp,22,0.40377233591079714,91.84
200,resnet_mlp,23,0.41426637749671935,91.5
200,resnet_mlp,24,0.35036358134746554,93.08
200,resnet_mlp,25,0.38799325711727145,92.54
200,resnet_mlp,26,0.380249565410614,92.4
200,resnet_mlp,27,0.37207266335487366,92.84
200,resnet_mlp,28,0.32902296311855317,94.26
200,resnet_mlp,29,0.38990341110229493,92.67999999999999
200,resnet_mlp,30,0.35890287680625915,93.10000000000001
200,fen_mlp,1,0.9026387329101563,70.84
200,fen_mlp,2,0.5735013832092285,81.74
200,fen_mlp,3,0.44439051332473756,86.82
200,fen_mlp,4,0.44836709804534913,86.6
200,fen_mlp,5,0.40335553107261657,88.53999999999999
200,fen_mlp,6,0.35969440670013425,89.72
200,fen_mlp,7,0.37285647072792055,89.60000000000001
200,fen_mlp,8,0.3661572555541992,89.75999999999999
200,fen_mlp,9,0.3814902512073517,89.68
200,fen_mlp,10,0.3796566349029541,89.7
200,fen_mlp,11,0.34660553584098813,90.34
200,fen_mlp,12,0.3354545171260834,91.34
200,fen_mlp,13,0.38698022603988647,89.68
200,fen_mlp,14,0.4015592088222504,89.3
200,fen_mlp,15,0.36077769145965577,90.68
200,fen_mlp,16,0.36113619191646573,90.7
200,fen_mlp,17,0.3665796103477478,90.82000000000001
200,fen_mlp,18,0.36481361546516416,90.84
200,fen_mlp,19,0.3833779997348785,90.84
200,fen_mlp,20,0.36543272459506987,90.92
200,fen_mlp,21,0.35090442292690277,91.52
200,fen_mlp,22,0.3724431151151657,91.06
200,fen_mlp,23,0.36537552762031555,91.44
200,fen_mlp,24,0.4199293776988983,90.08
200,fen_mlp,25,0.37032657918930056,91.24
200,fen_mlp,26,0.36700026569366456,91.14
200,fen_mlp,27,0.384126322889328,91.24
200,fen_mlp,28,0.3866595944404602,91.38
200,fen_mlp,29,0.3781293095588684,91.12
200,fen_mlp,30,0.40856443181037905,90.25999999999999
200,fen_rotational_mlp,1,0.9459332439422607,69.54
200,fen_rotational_mlp,2,0.5892262660980224,81.78
200,fen_rotational_mlp,3,0.46217725529670717,85.72
200,fen_rotational_mlp,4,0.45061724066734316,86.82
200,fen_rotational_mlp,5,0.41163147821426394,87.68
200,fen_rotational_mlp,6,0.38388537139892576,88.58
200,fen_rotational_mlp,7,0.37265346260070803,89.22
200,fen_rotational_mlp,8,0.3852234138250351,89.08
200,fen_rotational_mlp,9,0.38002914357185363,89.64
200,fen_rotational_mlp,10,0.35015592546463015,90.3
200,fen_rotational_mlp,11,0.37018219413757325,90.14
200,fen_rotational_mlp,12,0.3664136191368103,90.34
200,fen_rotational_mlp,13,0.35126578168869016,91.02
200,fen_rotational_mlp,14,0.36941362776756287,90.36
200,fen_rotational_mlp,15,0.38149880766868594,90.0
200,fen_rotational_mlp,16,0.3844590014457703,90.28
200,fen_rotational_mlp,17,0.33629586067199707,91.5
200,fen_rotational_mlp,18,0.3505006850719452,91.06
200,fen_rotational_mlp,19,0.4018202863693237,90.34
200,fen_rotational_mlp,20,0.3502902805328369,91.5
200,fen_rotational_mlp,21,0.3799693759441376,90.7
200,fen_rotational_mlp,22,0.37319538950920106,90.88000000000001
200,fen_rotational_mlp,23,0.3742690203666687,90.72
200,fen_rotational_mlp,24,0.3592010603427887,91.25999999999999
200,fen_rotational_mlp,25,0.34096857104301453,91.36
200,fen_rotational_mlp,26,0.3733548899650574,91.22
200,fen_rotational_mlp,27,0.39833536615371706,90.34
200,fen_rotational_mlp,28,0.35072645802497865,91.4
200,fen_rotational_mlp,29,0.354003173828125,91.64
200,fen_rotational_mlp,30,0.3639639494180679,91.62
